pid	filename	suggested_action	reason
L0550Y	L00550Y-Caramel-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0555Y	L00555Y-Sand-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0555Y	L00555Y-Maroon-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0555Y	L00555Y-White-frontjpg.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0555Y	L00555Y-Caramel-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0555Y	L00555Y-Forest-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 Lightblue Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 AthleticGreyHeather Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 AthleticGreyHeather Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 KellyGreen Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 ForestGreen Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 FatigueGreen Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 CharcoalHeather Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 ForestGreen Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 ForestGreen Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 Heleconia Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 Saphire side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 Saphire Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 Royal Side .png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 Royal Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 LightBlue Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 KellyGreen Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 FatigueGreen Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05610	S05610 CharcoalHeather Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Black Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Royal Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Yellow Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Sand Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Red Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Purple Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Orange Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Pink Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Lightblue Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Maroon Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 KellyGreen Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Ivory Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Gold Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Heliconia Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 ForestGreen Side .png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 FatigueGreen Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Brown Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 AthleticGreyHeather Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Yellow Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Saphire back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Navy Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Royal Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 CharcaolHeather Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Red back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 White Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Purple back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Pink Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Maroon Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Orange Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Lightblue back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 KellyGreen Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Ivory Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Heliconia Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Gold Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 ForestGreen Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 FatigueGreen Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Brown Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 AthleticGreyHeather Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Navy Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 CharcoalHeather Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 White back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Black Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Caramel Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05611	S05611 Caramel Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Red Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Orange Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Athleticgrey Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Navy Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 CharcoalHeather Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 White Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Black Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Royal Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Red Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Orange Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 AthleticGrey Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Navy Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 CharcoalHeater Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 White Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05615	S05615 Black Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Royal Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Red Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Orange Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 AthleticGrey Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Navy Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 CharcoalHeather Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 White Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Black Side.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Royal Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Red Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Orange Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 AthleticGrey Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Navy Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 CharcoalHeather Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 White Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05616	S05616 Black Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
6110	BELLA_+_CANVAS_6110_White_Front_High.jpg	KEEP-WHITELIST-BELLA_+_CANVAS	Branded prefix "BELLA_+_CANVAS_" with embedded pid 6110 matches parent — propose adding to KNOWN_SUPPLIER_PREFIXES['6110']
